source,target
/session/event-messaging-and-streaming-with-apache-pulsar,Architecture
/session/evolving-your-apis-a-step-by-step-approach,BackEnd
/session/exploring-the-world-class-finnish-quantum-technology-ecosystem,DeepTech
/session/exploring-the-world-class-finnish-quantum-technology-ecosystem,TechLead
/session/framework-freedom-with-micro-frontends,FrontEnd
/session/framework-freedom-with-micro-frontends,Architecture
/session/from-telco-to-tech-co-revolutionising-it-infrastructure-for-start-ups,OpsTech
/session/from-telco-to-tech-co-revolutionising-it-infrastructure-for-start-ups,TechLead
/session/from-zero-to-hero-in-kubernetes-native-java,BackEnd
/session/from-zero-to-hero-in-kubernetes-native-java,Architecture
/session/from-zero-to-hero-in-kubernetes-native-java,AppDev
/session/git-scenarios-how-do-i-fix-that,OpsTech
/session/granularity-communication-for-microservice-architectures,Architecture
/session/granularity-communication-for-microservice-architectures,BackEnd
/session/help-your-boss-help-you-1,TechLead
/session/how-to-think-like-an-architect,Architecture
/session/how-to-think-like-an-architect,TechLead
/session/imperative-vs-functional-which-one-to-choose,BackEnd
/session/infinite-scaling-computing-in-the-browser,FrontEnd
/session/infinite-scaling-computing-in-the-browser,AppDev
/session/java-testing-part-1-junit-jupiter-and-assertj,BackEnd
/session/java-testing-part-2-mocks-stubs-and-spies-with-mockito-4,BackEnd
/session/javascript-tests-in-node-the-browser-and-ci-1,FrontEnd
/session/journey-to-500m-an-engineers-view,TechLead
/session/key-gradle-concepts-and-practices,BackEnd
/session/lets-have-some-fun-with-game-of-life-and-learn-to-think-functionally-along-the-way,BackEnd
/session/live-coding-cloud-native-application-development-with-microprofile-open-liberty,BackEnd
/session/live-coding-cloud-native-application-development-with-microprofile-open-liberty,AppDev
/session/live-coding-cloud-native-application-development-with-microprofile-open-liberty,OpsTech
/session/managing-performance-in-a-hybrid-spa,FrontEnd
/session/managing-performance-in-a-hybrid-spa,BackEnd
/session/managing-performance-in-a-hybrid-spa,Architecture
/session/mastering-cloud-scalability-and-system-designs-deep-dive,BackEnd
/session/mastering-cloud-scalability-and-system-designs-deep-dive,Architecture
/session/meta-modern-software-architecture,Architecture
/session/meta-modern-software-architecture,TechLead
/session/minimal-apis-in-aspnet-60,BackEnd
/session/minimal-apis-in-aspnet-60,FrontEnd
/session/modern-and-lightweight-cloud-application-development-with-java-and-jakarta-ee,BackEnd
/session/modern-and-lightweight-cloud-application-development-with-java-and-jakarta-ee,Architecture
/session/navigating-the-wild-west-of-building-and-deploying-container,OpsTech
/session/navigating-the-wild-west-of-building-and-deploying-container,BackEnd
/session/our-analytical-data-journey-from-paper-to-petabytes,DataTech
/session/our-analytical-data-journey-from-paper-to-petabytes,Architecture
/session/patterns-of-event-driven-architecture,Architecture
/session/personal-knowledge-management-logseq-methods-and-madness,TechLead
/session/prescriptive-to-descriptive-paradigm-growth-beyond-talent,TechLead
/session/processing-real-time-trading-data-with-event-streaming,DataTech
/session/processing-real-time-trading-data-with-event-streaming,BackEnd
/session/programming-with-serviceloader-api-in-java,BackEnd
/session/property-based-testing-concepts-and-examples,BackEnd
/session/pybandit-a-website-optimization-framework-for-e-commerce-smbs,DeepTech
/session/pybandit-a-website-optimization-framework-for-e-commerce-smbs,FrontEnd
/session/pybandit-a-website-optimization-framework-for-e-commerce-smbs,DataTech
/session/release-engineering-for-a-polyglot-team,OpsTech
/session/release-engineering-for-a-polyglot-team,TechLead
/session/reusable-insights-from-enterprise-deployments,BackEnd
/session/reusable-insights-from-enterprise-deployments,Architecture
/session/reusable-insights-from-enterprise-deployments,OpsTech
/session/revolutionizing-customer-engagement-with-a-cutting-edge-cpaas-solution,BackEnd
/session/revolutionizing-customer-engagement-with-a-cutting-edge-cpaas-solution,AppDev
/session/scaling-the-testing-pyramid-in-javascript,FrontEnd
/session/scaling-the-testing-pyramid-in-javascript,BackEnd
/session/securing-and-streamlining-with-zero-trust-tunnel-in-istio-ambient-mesh,OpsTech
/session/securing-and-streamlining-with-zero-trust-tunnel-in-istio-ambient-mesh,Architecture
/session/shift-data-quality-left-with-data-mesh-principles,DataTech
/session/should-i-upgrade-my-java,BackEnd
/session/should-you-be-doing-more-api-testing,BackEnd
/session/should-you-be-doing-more-api-testing,OpsTech
/session/six-essential-soft-skills-for-the-software-architect,TechLead
/session/six-essential-soft-skills-for-the-software-architect,Architecture
/session/software-architecture-the-hard-parts,Architecture
/session/spring-apps-at-scale-from-0-to-5b-to-100b-requests,BackEnd
/session/spring-apps-at-scale-from-0-to-5b-to-100b-requests,OpsTech
/session/sufficiently-advanced-technology-software-sorcery,TechLead
/session/superman-or-ironman-can-everyone-be-a-10x-developer,TechLead
/session/superman-or-ironman-can-everyone-be-a-10x-developer,FrontEnd
/session/superman-or-ironman-can-everyone-be-a-10x-developer,Architecture
/session/taking-flight-with-ai-and-ml-revolutionizing-airline-ops,DeepTech
/session/taking-flight-with-ai-and-ml-revolutionizing-airline-ops,OpsTech
/session/testing-software-architecture,Architecture
/session/testing-software-architecture,BackEnd
/session/the-5ws-of-observability-with-practical-examples,Architecture
/session/the-5ws-of-observability-with-practical-examples,OpsTech
/session/the-architects-guide-to-fortifying-software-security,Architecture
/session/the-art-and-benefits-of-computing-eventfully,DataTech
/session/the-art-and-benefits-of-computing-eventfully,Architecture
/session/the-future-is-5g-unleashing-possibilities-for-developers,OpsTech
/session/the-future-is-5g-unleashing-possibilities-for-developers,DeepTech
/session/the-future-of-automotive-a-developers-look-at-software-defined-vehicles,DeepTech
/session/the-future-of-automotive-a-developers-look-at-software-defined-vehicles,Architecture
/session/the-linked-data-revolution-is-here-are-you-ready,DataTech
/session/the-linked-data-revolution-is-here-are-you-ready,FrontEnd
/session/the-secret-life-of-maven-central,BackEnd
/session/the-secret-life-of-maven-central,OpsTech
/session/the-secrets-to-smart-flexible-self-describing-api,BackEnd
/session/the-secrets-to-smart-flexible-self-describing-api,Architecture
/session/thriving-in-the-cloud-venturing-beyond-the-12-factors,BackEnd
/session/thriving-in-the-cloud-venturing-beyond-the-12-factors,Architecture
/session/thriving-in-the-cloud-venturing-beyond-the-12-factors,OpsTech
/session/to-instanton-and-beyond-java-at-lightspeed,Architecture
/session/to-instanton-and-beyond-java-at-lightspeed,OpsTech
/session/top-algorithms-for-performance-and-efficiency,BackEnd
/session/top-algorithms-for-performance-and-efficiency,Architecture
/session/transforming-data-using-the-functional-api,BackEnd
/session/transforming-data-using-the-functional-api,DataTech
/session/trap-the-five-thieves-of-time-by-making-work-and-flow-visible,TechLead
/session/understanding-performance-of-react-applications,FrontEnd
/session/understanding-the-differences-between-modularity-and-granularity,Architecture
/session/unleash-the-magic-of-salesforce-genie-real-time-data-in-action,DataTech
/session/unleash-the-magic-of-salesforce-genie-real-time-data-in-action,Architecture
/session/unlock-the-secret-to-exceptional-digital-experiences,FrontEnd
/session/unlock-the-secret-to-exceptional-digital-experiences,DataTech
/session/upgrade-to-modern-java,BackEnd
/session/whizz-your-way-with-neo4j,DataTech
/session/whizz-your-way-with-neo4j,BackEnd
/session/whizz-your-way-with-neo4j,Architecture
