"source","target","relevance"
"/speaker/venkat-subramaniam","question","0.012"
"/speaker/venkat-subramaniam","accidental","0.025"
"/speaker/venkat-subramaniam","use","0.074"
"/speaker/venkat-subramaniam","complexity","0.025"
"/speaker/venkat-subramaniam","illustrate","0.012"
"/speaker/venkat-subramaniam","paradigm","0.012"
"/speaker/venkat-subramaniam","style","0.012"
"/speaker/venkat-subramaniam","simple","0.025"
"/speaker/venkat-subramaniam","complex","0.012"
"/speaker/venkat-subramaniam","deep","0.012"
"/speaker/venkat-subramaniam","answer","0.012"
"/speaker/venkat-subramaniam","pack","0.012"
"/speaker/venkat-subramaniam","limitation","0.012"
"/speaker/venkat-subramaniam","nice","0.025"
"/speaker/venkat-subramaniam","hide","0.012"
"/speaker/venkat-subramaniam","java","0.037"
"/speaker/venkat-subramaniam","popularity","0.012"
"/speaker/venkat-subramaniam","human","0.012"
"/speaker/venkat-subramaniam","implementation","0.012"
"/speaker/venkat-subramaniam","intriguing","0.025"
"/speaker/venkat-subramaniam","react","0.012"
"/speaker/venkat-subramaniam","desire","0.012"
"/speaker/venkat-subramaniam","new","0.025"
"/speaker/venkat-subramaniam","discover","0.025"
"/speaker/venkat-subramaniam","set","0.012"
"/speaker/venkat-subramaniam","issue","0.012"
"/speaker/venkat-subramaniam","immutability","0.012"
"/speaker/venkat-subramaniam","gain","0.025"
"/speaker/venkat-subramaniam","structure","0.012"
"/speaker/venkat-subramaniam","small","0.012"
"/speaker/venkat-subramaniam","filter","0.012"
"/speaker/venkat-subramaniam","manager","0.012"
"/speaker/venkat-subramaniam","map","0.012"
"/speaker/venkat-subramaniam","design","0.025"
"/speaker/venkat-subramaniam","transformation","0.012"
"/speaker/venkat-subramaniam","api","0.025"
"/speaker/venkat-subramaniam","discuss","0.025"
"/speaker/venkat-subramaniam","make","0.062"
"/speaker/venkat-subramaniam","see","0.025"
"/speaker/venkat-subramaniam","architect","0.012"
"/speaker/venkat-subramaniam","collector","0.012"
"/speaker/venkat-subramaniam","power","0.012"
"/speaker/venkat-subramaniam","go","0.012"
"/speaker/venkat-subramaniam","able","0.012"
"/speaker/venkat-subramaniam","everyday","0.012"
"/speaker/venkat-subramaniam","appear","0.012"
"/speaker/venkat-subramaniam","imperative","0.037"
"/speaker/venkat-subramaniam","day","0.012"
"/speaker/venkat-subramaniam","idea","0.012"
"/speaker/venkat-subramaniam","early","0.012"
"/speaker/venkat-subramaniam","understand","0.025"
"/speaker/venkat-subramaniam","programmer","0.012"
"/speaker/venkat-subramaniam","close","0.012"
"/speaker/venkat-subramaniam","utility","0.012"
"/speaker/venkat-subramaniam","involve","0.025"
"/speaker/venkat-subramaniam","less","0.012"
"/speaker/venkat-subramaniam","honor","0.012"
"/speaker/venkat-subramaniam","architecture","0.012"
"/speaker/venkat-subramaniam","mean","0.012"
"/speaker/venkat-subramaniam","programming","0.062"
"/speaker/venkat-subramaniam","discussion","0.012"
"/speaker/venkat-subramaniam","program","0.025"
"/speaker/venkat-subramaniam","popular","0.012"
"/speaker/venkat-subramaniam","code","0.012"
"/speaker/venkat-subramaniam","making","0.012"
"/speaker/venkat-subramaniam","function","0.025"
"/speaker/venkat-subramaniam","dive","0.012"
"/speaker/venkat-subramaniam","superb","0.012"
"/speaker/venkat-subramaniam","one","0.025"
"/speaker/michael-carducci","tool","0.049"
"/speaker/michael-carducci","concept","0.012"
"/speaker/michael-carducci","optimization","0.012"
"/speaker/michael-carducci","trick","0.012"
"/speaker/michael-carducci","single","0.012"
"/speaker/michael-carducci","convert","0.012"
"/speaker/michael-carducci","go","0.012"
"/speaker/michael-carducci","dream","0.012"
"/speaker/michael-carducci","impossible","0.025"
"/speaker/michael-carducci","junior","0.012"
"/speaker/michael-carducci","pattern","0.012"
"/speaker/michael-carducci","ingredient","0.012"
"/speaker/michael-carducci","many","0.037"
"/speaker/michael-carducci","right","0.012"
"/speaker/michael-carducci","obvious","0.012"
"/speaker/michael-carducci","bottleneck","0.012"
"/speaker/michael-carducci","try","0.012"
"/speaker/michael-carducci","abstract","0.012"
"/speaker/michael-carducci","do","0.049"
"/speaker/michael-carducci","help","0.012"
"/speaker/michael-carducci","bookmarke","0.012"
"/speaker/michael-carducci","rediscover","0.012"
"/speaker/michael-carducci","begin","0.012"
"/speaker/michael-carducci","hand","0.012"
"/speaker/michael-carducci","keynote","0.012"
"/speaker/michael-carducci","access","0.012"
"/speaker/michael-carducci","developer","0.025"
"/speaker/michael-carducci","organizational","0.012"
"/speaker/michael-carducci","assemble","0.012"
"/speaker/michael-carducci","course","0.025"
"/speaker/michael-carducci","human","0.025"
"/speaker/michael-carducci","base","0.012"
"/speaker/michael-carducci","date","0.012"
"/speaker/michael-carducci","text","0.012"
"/speaker/michael-carducci","way","0.037"
"/speaker/michael-carducci","secret","0.012"
"/speaker/michael-carducci","actionable","0.012"
"/speaker/michael-carducci","various","0.012"
"/speaker/michael-carducci","list","0.012"
"/speaker/michael-carducci","client","0.012"
"/speaker/michael-carducci","solve","0.012"
"/speaker/michael-carducci","lock","0.012"
"/speaker/michael-carducci","pick","0.012"
"/speaker/michael-carducci","design","0.012"
"/speaker/michael-carducci","difference","0.012"
"/speaker/michael-carducci","agree","0.012"
"/speaker/michael-carducci","michael","0.012"
"/speaker/michael-carducci","discover","0.012"
"/speaker/michael-carducci","deal","0.012"
"/speaker/michael-carducci","process","0.037"
"/speaker/michael-carducci","come","0.012"
"/speaker/michael-carducci","build","0.037"
"/speaker/michael-carducci","problem","0.037"
"/speaker/michael-carducci","table","0.012"
"/speaker/michael-carducci","favor","0.012"
"/speaker/michael-carducci","impact","0.012"
"/speaker/michael-carducci","object","0.012"
"/speaker/michael-carducci","scalability","0.012"
"/speaker/michael-carducci","gather","0.012"
"/speaker/michael-carducci","impactful","0.012"
"/speaker/michael-carducci","keep","0.012"
"/speaker/michael-carducci","query","0.037"
"/speaker/michael-carducci","read","0.012"
"/speaker/michael-carducci","principal","0.012"
"/speaker/michael-carducci","continue","0.012"
"/speaker/michael-carducci","knowledge","0.099"
"/speaker/michael-carducci","robert","0.012"
"/speaker/michael-carducci","recommendation","0.025"
"/speaker/michael-carducci","unlock","0.012"
"/speaker/michael-carducci","versione","0.012"
"/speaker/michael-carducci","optimizer","0.012"
"/speaker/michael-carducci","underlie","0.012"
"/speaker/michael-carducci","take","0.012"
"/speaker/michael-carducci","more","0.012"
"/speaker/michael-carducci","necessary","0.037"
"/speaker/michael-carducci","source","0.012"
"/speaker/michael-carducci","speaker","0.012"
"/speaker/michael-carducci","glimpse","0.012"
"/speaker/michael-carducci","today","0.037"
"/speaker/michael-carducci","game","0.025"
"/speaker/michael-carducci","conference","0.012"
"/speaker/michael-carducci","org","0.012"
"/speaker/michael-carducci","lose","0.012"
"/speaker/michael-carducci","set","0.012"
"/speaker/michael-carducci","personal","0.012"
"/speaker/michael-carducci","see","0.012"
"/speaker/michael-carducci","armed","0.012"
"/speaker/michael-carducci","standard","0.025"
"/speaker/michael-carducci","ignore","0.012"
"/speaker/michael-carducci","information","0.037"
"/speaker/michael-carducci","remain","0.012"
"/speaker/michael-carducci","architect","0.025"
"/speaker/michael-carducci","introduce","0.012"
"/speaker/michael-carducci","web","0.074"
"/speaker/michael-carducci","reach","0.025"
"/speaker/michael-carducci","big","0.025"
"/speaker/michael-carducci","api","0.025"
"/speaker/michael-carducci","apis","0.037"
"/speaker/michael-carducci","identify","0.012"
"/speaker/michael-carducci","activity","0.025"
"/speaker/michael-carducci","solemn","0.012"
"/speaker/michael-carducci","past","0.012"
"/speaker/michael-carducci","style","0.012"
"/speaker/michael-carducci","knowhow","0.012"
"/speaker/michael-carducci","exciting","0.012"
"/speaker/michael-carducci","open","0.012"
"/speaker/michael-carducci","year","0.012"
"/speaker/michael-carducci","connect","0.025"
"/speaker/michael-carducci","request","0.012"
"/speaker/michael-carducci","fast","0.012"
"/speaker/michael-carducci","map","0.012"
"/speaker/michael-carducci","answer","0.012"
"/speaker/michael-carducci","convention","0.012"
"/speaker/michael-carducci","organize","0.012"
"/speaker/michael-carducci","critical","0.012"
"/speaker/michael-carducci","miss","0.012"
"/speaker/michael-carducci","file","0.012"
"/speaker/michael-carducci","data","0.099"
"/speaker/michael-carducci","highlight","0.012"
"/speaker/michael-carducci","interpret","0.012"
"/speaker/michael-carducci","orm","0.012"
"/speaker/michael-carducci","senior","0.025"
"/speaker/michael-carducci","fun","0.012"
"/speaker/michael-carducci","sql","0.012"
"/speaker/michael-carducci","apisôçôis","0.012"
"/speaker/michael-carducci","pronouncement","0.012"
"/speaker/michael-carducci","life","0.025"
"/speaker/michael-carducci","deploy","0.012"
"/speaker/michael-carducci","leave","0.012"
"/speaker/michael-carducci","term","0.012"
"/speaker/michael-carducci","forget","0.012"
"/speaker/michael-carducci","consume","0.025"
"/speaker/michael-carducci","share","0.037"
"/speaker/michael-carducci","digital","0.012"
"/speaker/michael-carducci","well","0.012"
"/speaker/michael-carducci","architectural","0.012"
"/speaker/michael-carducci","break","0.012"
"/speaker/michael-carducci","fingertip","0.012"
"/speaker/michael-carducci","engine","0.012"
"/speaker/michael-carducci","learning","0.012"
"/speaker/michael-carducci","landscape","0.012"
"/speaker/michael-carducci","document","0.025"
"/speaker/michael-carducci","history","0.025"
"/speaker/michael-carducci","goal","0.012"
"/speaker/michael-carducci","decade","0.012"
"/speaker/michael-carducci","brain","0.012"
"/speaker/michael-carducci","software","0.012"
"/speaker/michael-carducci","involve","0.012"
"/speaker/michael-carducci","point","0.012"
"/speaker/michael-carducci","miracle","0.012"
"/speaker/michael-carducci","abandon","0.012"
"/speaker/michael-carducci","book","0.012"
"/speaker/michael-carducci","change","0.037"
"/speaker/michael-carducci","garden","0.012"
"/speaker/michael-carducci","look","0.012"
"/speaker/michael-carducci","peer","0.012"
"/speaker/michael-carducci","top","0.012"
"/speaker/michael-carducci","daily","0.012"
"/speaker/michael-carducci","high","0.012"
"/speaker/michael-carducci","mass","0.012"
"/speaker/michael-carducci","classify","0.012"
"/speaker/michael-carducci","need","0.037"
"/speaker/michael-carducci","depend","0.025"
"/speaker/michael-carducci","technology","0.025"
"/speaker/michael-carducci","note","0.012"
"/speaker/michael-carducci","worker","0.012"
"/speaker/michael-carducci","shade","0.012"
"/speaker/michael-carducci","skill","0.049"
"/speaker/michael-carducci","produce","0.012"
"/speaker/michael-carducci","scale","0.012"
"/speaker/michael-carducci","story","0.012"
"/speaker/michael-carducci","easy","0.037"
"/speaker/michael-carducci","grow","0.012"
"/speaker/michael-carducci","passage","0.012"
"/speaker/michael-carducci","parsed","0.012"
"/speaker/michael-carducci","performance","0.025"
"/speaker/michael-carducci","learn","0.049"
"/speaker/michael-carducci","link","0.012"
"/speaker/michael-carducci","account","0.012"
"/speaker/michael-carducci","search","0.012"
"/speaker/michael-carducci","heinlein","0.012"
"/speaker/michael-carducci","level","0.012"
"/speaker/michael-carducci","plain","0.012"
"/speaker/michael-carducci","indispensable","0.012"
"/speaker/michael-carducci","inevitable","0.012"
"/speaker/michael-carducci","tip","0.012"
"/speaker/michael-carducci","explore","0.012"
"/speaker/michael-carducci","seem","0.012"
"/speaker/michael-carducci","use","0.037"
"/speaker/michael-carducci","attempt","0.012"
"/speaker/michael-carducci","markdown","0.012"
"/speaker/michael-carducci","head","0.012"
"/speaker/michael-carducci","authority","0.012"
"/speaker/michael-carducci","discovery","0.012"
"/speaker/michael-carducci","hood","0.012"
"/speaker/michael-carducci","local","0.012"
"/speaker/michael-carducci","describe","0.012"
"/speaker/michael-carducci","effective","0.012"
"/speaker/michael-carducci","ready","0.012"
"/speaker/michael-carducci","time","0.012"
"/speaker/michael-carducci","write","0.049"
"/speaker/michael-carducci","sauce","0.012"
"/speaker/michael-carducci","session","0.062"
"/speaker/michael-carducci","think","0.012"
"/speaker/michael-carducci","publish","0.012"
"/speaker/michael-carducci","shoulder","0.012"
"/speaker/michael-carducci","solution","0.025"
"/speaker/michael-carducci","world","0.012"
"/speaker/michael-carducci","align","0.012"
"/speaker/michael-carducci","capture","0.012"
"/speaker/michael-carducci","simple","0.025"
"/speaker/michael-carducci","recall","0.012"
"/speaker/michael-carducci","collect","0.012"
"/speaker/michael-carducci","development","0.012"
"/speaker/michael-carducci","none","0.012"
"/speaker/michael-carducci","rest","0.012"
"/speaker/michael-carducci","practice","0.012"
"/speaker/michael-carducci","other","0.012"
"/speaker/michael-carducci","growth","0.012"
"/speaker/michael-carducci","insight","0.012"
"/speaker/michael-carducci","syntax","0.012"
"/speaker/michael-carducci","join","0.025"
"/speaker/michael-carducci","code","0.025"
"/speaker/michael-carducci","stuck","0.012"
"/speaker/michael-carducci","first","0.012"
"/speaker/michael-carducci","be","0.012"
"/speaker/michael-carducci","logseq","0.025"
"/speaker/michael-carducci","science","0.012"
"/speaker/michael-carducci","management","0.012"
"/speaker/michael-carducci","reverse","0.012"
"/speaker/michael-carducci","server","0.037"
"/speaker/michael-carducci","service","0.025"
"/speaker/michael-carducci","embrace","0.012"
"/speaker/michael-carducci","relational","0.025"
"/speaker/michael-carducci","idea","0.025"
"/speaker/michael-carducci","dot","0.025"
"/speaker/michael-carducci","decouple","0.012"
"/speaker/michael-carducci","retrieve","0.037"
"/speaker/michael-carducci","database","0.037"
"/speaker/michael-carducci","whole","0.012"
"/speaker/michael-carducci","basic","0.012"
"/speaker/michael-carducci","indexing","0.012"
"/speaker/michael-carducci","app","0.012"
"/speaker/michael-carducci","thought","0.025"
"/speaker/michael-carducci","important","0.012"
"/speaker/michael-carducci","linchpin","0.025"
"/speaker/michael-carducci","format","0.012"
"/speaker/michael-carducci","heart","0.025"
"/speaker/michael-carducci","different","0.025"
"/speaker/michael-carducci","new","0.025"
"/speaker/michael-carducci","get","0.025"
"/speaker/michael-carducci","provoke","0.012"
"/speaker/michael-carducci","resource","0.012"
"/speaker/michael-carducci","dev","0.012"
"/speaker/michael-carducci","howôçª","0.012"
"/speaker/michael-carducci","become","0.012"
"/speaker/michael-carducci","key","0.012"
"/speaker/michael-carducci","happen","0.025"
"/speaker/michael-carducci","next","0.012"
"/speaker/michael-carducci","rpc","0.012"
"/speaker/michael-carducci","successful","0.012"
"/speaker/michael-carducci","privacy","0.012"
"/speaker/michael-carducci","openapi","0.012"
"/speaker/michael-carducci","content","0.012"
"/speaker/michael-carducci","coin","0.012"
"/speaker/michael-carducci","struggle","0.012"
"/speaker/michael-carducci","make","0.062"
"/speaker/michael-carducci","fellow","0.012"
"/speaker/michael-carducci","bring","0.037"
"/speaker/michael-carducci","decision","0.012"
"/speaker/michael-carducci","challenge","0.037"
"/speaker/michael-carducci","soap","0.012"
"/speaker/michael-carducci","storage","0.012"
"/speaker/michael-carducci","capability","0.012"
"/speaker/michael-carducci","know","0.049"
"/speaker/michael-carducci","majority","0.012"
"/speaker/michael-carducci","own","0.025"
"/speaker/michael-carducci","works'ôçôeven","0.012"
"/speaker/michael-carducci","microsoft","0.012"
"/speaker/michael-carducci","approach","0.037"
"/speaker/michael-carducci","ante","0.025"
"/speaker/michael-carducci","create","0.012"
"/speaker/michael-carducci","work","0.062"
"/speaker/michael-carducci","protocol","0.012"
"/speaker/michael-carducci","good","0.025"
"/speaker/michael-carducci","revolution","0.025"
"/speaker/michael-carducci","system","0.012"
"/speaker/michael-carducci","evolve","0.037"
"/speaker/michael-carducci","fact","0.012"
"/speaker/michael-carducci","mode","0.012"
"/speaker/michael-carducci","pave","0.012"
"/speaker/michael-carducci","silo","0.012"
"/speaker/michael-carducci","store","0.025"
"/speaker/michael-carducci","db","0.012"
"/speaker/michael-carducci","interface","0.012"
"/speaker/michael-carducci","same","0.025"
"/speaker/michael-carducci","support","0.012"
"/speaker/mark-richards","include","0.012"
"/speaker/mark-richards","daily","0.025"
"/speaker/mark-richards","through","0.012"
"/speaker/mark-richards","meteorologist","0.012"
"/speaker/mark-richards","important","0.012"
"/speaker/mark-richards","analyze","0.012"
"/speaker/mark-richards","senior","0.012"
"/speaker/mark-richards","messaging","0.012"
"/speaker/mark-richards","base","0.012"
"/speaker/mark-richards","style","0.012"
"/speaker/mark-richards","maximize","0.012"
"/speaker/mark-richards","make","0.049"
"/speaker/mark-richards","size","0.012"
"/speaker/mark-richards","leverage","0.012"
"/speaker/mark-richards","help","0.012"
"/speaker/mark-richards","think","0.037"
"/speaker/mark-richards","hard","0.025"
"/speaker/mark-richards","keynote","0.025"
"/speaker/mark-richards","most","0.012"
"/speaker/mark-richards","show","0.037"
"/speaker/mark-richards","integration","0.012"
"/speaker/mark-richards","try","0.012"
"/speaker/mark-richards","find","0.012"
"/speaker/mark-richards","similar","0.012"
"/speaker/mark-richards","move","0.025"
"/speaker/mark-richards","introduce","0.012"
"/speaker/mark-richards","exist","0.012"
"/speaker/mark-richards","many","0.025"
"/speaker/mark-richards","implement","0.012"
"/speaker/mark-richards","modularity","0.049"
"/speaker/mark-richards","responsiveness","0.025"
"/speaker/mark-richards","fair","0.012"
"/speaker/mark-richards","agility","0.012"
"/speaker/mark-richards","bargain","0.012"
"/speaker/mark-richards","ease","0.012"
"/speaker/mark-richards","technique","0.012"
"/speaker/mark-richards","code","0.049"
"/speaker/mark-richards","monolithic","0.025"
"/speaker/mark-richards","service","0.049"
"/speaker/mark-richards","artist","0.012"
"/speaker/mark-richards","start","0.012"
"/speaker/mark-richards","defect","0.012"
"/speaker/mark-richards","designate","0.012"
"/speaker/mark-richards","transaction","0.012"
"/speaker/mark-richards","tool","0.012"
"/speaker/mark-richards","decouple","0.012"
"/speaker/mark-richards","same","0.012"
"/speaker/mark-richards","power","0.012"
"/speaker/mark-richards","discuss","0.012"
"/speaker/mark-richards","unit","0.049"
"/speaker/mark-richards","activity","0.025"
"/speaker/mark-richards","company","0.012"
"/speaker/mark-richards","event","0.062"
"/speaker/mark-richards","functional","0.012"
"/speaker/mark-richards","pattern","0.049"
"/speaker/mark-richards","test","0.099"
"/speaker/mark-richards","part","0.012"
"/speaker/mark-richards","processing","0.012"
"/speaker/mark-richards","custom","0.012"
"/speaker/mark-richards","risk","0.012"
"/speaker/mark-richards","achieve","0.025"
"/speaker/mark-richards","turn","0.012"
"/speaker/mark-richards","point","0.012"
"/speaker/mark-richards","contain","0.012"
"/speaker/mark-richards","choice","0.025"
"/speaker/mark-richards","design","0.025"
"/speaker/mark-richards","justify","0.012"
"/speaker/mark-richards","effort","0.012"
"/speaker/mark-richards","fact","0.012"
"/speaker/mark-richards","breaking","0.012"
"/speaker/mark-richards","sound","0.012"
"/speaker/mark-richards","different","0.037"
"/speaker/mark-richards","thing","0.049"
"/speaker/mark-richards","source","0.037"
"/speaker/mark-richards","manner","0.012"
"/speaker/mark-richards","decision","0.025"
"/speaker/mark-richards","richard","0.049"
"/speaker/mark-richards","software","0.099"
"/speaker/mark-richards","business","0.012"
"/speaker/mark-richards","asynchronous","0.012"
"/speaker/mark-richards","granularity","0.062"
"/speaker/mark-richards","learn","0.037"
"/speaker/mark-richards","promise","0.012"
"/speaker/mark-richards","take","0.012"
"/speaker/mark-richards","understand","0.012"
"/speaker/mark-richards","architect","0.074"
"/speaker/mark-richards","database","0.012"
"/speaker/mark-richards","implication","0.012"
"/speaker/mark-richards","open","0.012"
"/speaker/mark-richards","developer","0.049"
"/speaker/mark-richards","topology","0.012"
"/speaker/mark-richards","distribute","0.049"
"/speaker/mark-richards","level","0.012"
"/speaker/mark-richards","small","0.012"
"/speaker/mark-richards","kind","0.012"
"/speaker/mark-richards","orient","0.012"
"/speaker/mark-richards","break","0.025"
"/speaker/mark-richards","struggle","0.012"
"/speaker/mark-richards","walk","0.025"
"/speaker/mark-richards","people","0.012"
"/speaker/mark-richards","architecture","0.185"
"/speaker/mark-richards","mark","0.074"
"/speaker/mark-richards","system","0.049"
"/speaker/mark-richards","trade","0.025"
"/speaker/mark-richards","demos","0.012"
"/speaker/mark-richards","increase","0.012"
"/speaker/mark-richards","face","0.012"
"/speaker/mark-richards","grain","0.012"
"/speaker/mark-richards","construct","0.012"
"/speaker/mark-richards","overall","0.012"
"/speaker/mark-richards","build","0.025"
"/speaker/mark-richards","goal","0.012"
"/speaker/mark-richards","complexity","0.012"
"/speaker/mark-richards","architectural","0.074"
"/speaker/mark-richards","disintegration","0.012"
"/speaker/mark-richards","deployment","0.037"
"/speaker/mark-richards","apply","0.025"
"/speaker/mark-richards","meaning","0.012"
"/speaker/mark-richards","solve","0.012"
"/speaker/mark-richards","various","0.049"
"/speaker/mark-richards","talk","0.037"
"/speaker/mark-richards","protocol","0.012"
"/speaker/mark-richards","good","0.012"
"/speaker/mark-richards","day","0.012"
"/speaker/mark-richards","view","0.012"
"/speaker/mark-richards","amount","0.012"
"/speaker/mark-richards","component","0.012"
"/speaker/mark-richards","title","0.012"
"/speaker/mark-richards","separate","0.025"
"/speaker/mark-richards","control","0.012"
"/speaker/mark-richards","mean","0.012"
"/speaker/mark-richards","driver","0.037"
"/speaker/mark-richards","common","0.012"
"/speaker/mark-richards","off","0.025"
"/speaker/mark-richards","approach","0.012"
"/speaker/mark-richards","deliver","0.012"
"/speaker/mark-richards","eye","0.012"
"/speaker/mark-richards","right","0.025"
"/speaker/mark-richards","workflow","0.012"
"/speaker/mark-richards","cloud","0.012"
"/speaker/mark-richards","minimize","0.012"
"/speaker/mark-richards","meet","0.012"
"/speaker/mark-richards","live","0.012"
"/speaker/mark-richards","ensure","0.037"
"/speaker/mark-richards","get","0.012"
"/speaker/mark-richards","see","0.025"
"/speaker/mark-richards","performance","0.012"
"/speaker/mark-richards","session","0.062"
"/speaker/mark-richards","communication","0.012"
"/speaker/mark-richards","work","0.037"
"/speaker/mark-richards","lead","0.012"
"/speaker/mark-richards","easy","0.012"
"/speaker/mark-richards","difficult","0.012"
"/speaker/mark-richards","problem","0.012"
"/speaker/mark-richards","elasticity","0.012"
"/speaker/mark-richards","mariner","0.012"
"/speaker/mark-richards","role","0.012"
"/speaker/mark-richards","breadth","0.012"
"/speaker/mark-richards","benefit","0.012"
"/speaker/mark-richards","more","0.012"
"/speaker/mark-richards","technical","0.012"
"/speaker/mark-richards","thinking","0.049"
"/speaker/mark-richards","use","0.037"
"/speaker/mark-richards","iterative","0.012"
"/speaker/mark-richards","scalability","0.037"
"/speaker/mark-richards","microservice","0.037"
"/speaker/mark-richards","testing","0.012"
"/speaker/mark-richards","describe","0.012"
"/speaker/mark-richards","such","0.012"
"/speaker/mark-richards","tech","0.025"
"/speaker/mark-richards","drive","0.062"
"/speaker/mark-richards","well","0.012"
"/speaker/mark-richards","fast","0.012"
"/speaker/mark-richards","come","0.012"
"/speaker/mark-richards","allow","0.012"
"/speaker/mark-richards","contract","0.012"
"/speaker/mark-richards","decomposition","0.012"
"/speaker/mark-richards","agree","0.012"
"/speaker/mark-richards","cost","0.012"
"/speaker/neal-ford","orchestration","0.012"
"/speaker/neal-ford","coupling","0.037"
"/speaker/neal-ford","come","0.012"
"/speaker/neal-ford","proper","0.025"
"/speaker/neal-ford","asynchronous","0.012"
"/speaker/neal-ford","cultural","0.025"
"/speaker/neal-ford","host","0.012"
"/speaker/neal-ford","communication","0.037"
"/speaker/neal-ford","development","0.012"
"/speaker/neal-ford","drive","0.012"
"/speaker/neal-ford","appear","0.012"
"/speaker/neal-ford","decision","0.025"
"/speaker/neal-ford","granularity","0.049"
"/speaker/neal-ford","figure","0.012"
"/speaker/neal-ford","become","0.012"
"/speaker/neal-ford","building","0.012"
"/speaker/neal-ford","keynote","0.012"
"/speaker/neal-ford","consistency","0.012"
"/speaker/neal-ford","good","0.012"
"/speaker/neal-ford","look","0.012"
"/speaker/neal-ford","worried","0.012"
"/speaker/neal-ford","awful","0.012"
"/speaker/neal-ford","thing","0.012"
"/speaker/neal-ford","clever","0.012"
"/speaker/neal-ford","determine","0.025"
"/speaker/neal-ford","correct","0.012"
"/speaker/neal-ford","inform","0.012"
"/speaker/neal-ford","make","0.025"
"/speaker/neal-ford","appropriate","0.012"
"/speaker/neal-ford","noôçônew","0.012"
"/speaker/neal-ford","coordination","0.012"
"/speaker/neal-ford","modernism","0.012"
"/speaker/neal-ford","affect","0.012"
"/speaker/neal-ford","tradeoff","0.037"
"/speaker/neal-ford","department","0.012"
"/speaker/neal-ford","decide","0.012"
