"sourcecountrycode","targetcountrycode","relationshiptype","weight"
"PT","IS","VOTE_2011_JURY","4"
"IT","IS","VOTE_2011_JURY","5"
"ES","IS","VOTE_2012_JURY","4"
"DK","IS","VOTE_2012_JURY","6"
"FI","IS","VOTE_2012_JURY","7"
"CY","IS","VOTE_2012_JURY","1"
"NO","IS","VOTE_2012_JURY","5"
"EE","IS","VOTE_2012_JURY","6"
"DE","IS","VOTE_2012_JURY","3"
"SK","IS","VOTE_2012_JURY","4"
"SI","IS","VOTE_2012_JURY","4"
"HU","IS","VOTE_2012_JURY","6"
"HU","IS","VOTE_2013_JURY","6"
"NO","IS","VOTE_2013_JURY","4"
"GB","IS","VOTE_2013_JURY","2"
"SE","IS","VOTE_2013_JURY","6"
"SI","IS","VOTE_2013_JURY","4"
"CH","IS","VOTE_2013_JURY","5"
"EE","IS","VOTE_2013_JURY","6"
"DK","IS","VOTE_2013_JURY","1"
"FI","IS","VOTE_2013_JURY","5"
"DE","IS","VOTE_2013_JURY","8"
"HU","IS","VOTE_2014_JURY","5"
"SE","IS","VOTE_2014_JURY","4"
"ES","IS","VOTE_2014_JURY","1"
"GB","IS","VOTE_2014_JURY","4"
"DK","IS","VOTE_2014_JURY","5"
"IT","IS","VOTE_2014_JURY","7"
"RU","IS","VOTE_2014_JURY","1"
"DE","IS","VOTE_2014_JURY","2"
"NO","IS","VOTE_2014_JURY","6"
"AT","IS","VOTE_2014_JURY","2"
"NL","IS","VOTE_2014_JURY","6"
"SM","IS","VOTE_2014_JURY","8"
"FR","IS","VOTE_2014_JURY","7"
"SM","IS","VOTE_2019_JURY","6"
"BE","IS","VOTE_2019_JURY","10"
"RU","IS","VOTE_2019_JURY","2"
"CZ","IS","VOTE_2019_JURY","4"
"PL","IS","VOTE_2019_JURY","3"
"LT","IS","VOTE_2019_JURY","6"
"FR","IS","VOTE_2019_JURY","5"
"AU","IS","VOTE_2019_JURY","8"
"MK","IS","VOTE_2019_JURY","2"
"HR","IS","VOTE_2019_PUBLIC","3"
"AM","IS","VOTE_2019_PUBLIC","3"
"IE","IS","VOTE_2019_PUBLIC","6"
"LT","IS","VOTE_2019_PUBLIC","6"
"NO","IS","VOTE_2019_PUBLIC","10"
"SE","IS","VOTE_2019_PUBLIC","8"
"FR","IS","VOTE_2019_PUBLIC","1"
"BY","IS","VOTE_2019_PUBLIC","7"
"AU","IS","VOTE_2019_PUBLIC","10"
"SM","IS","VOTE_2019_PUBLIC","2"
"IT","IS","VOTE_2019_PUBLIC","7"
"AT","IS","VOTE_2019_PUBLIC","6"
"MD","IS","VOTE_2019_PUBLIC","1"
"GE","IS","VOTE_2019_PUBLIC","3"
"CZ","IS","VOTE_2019_PUBLIC","6"
"FI","IS","VOTE_2019_PUBLIC","12"
"GB","IS","VOTE_2019_PUBLIC","8"
"GR","IS","VOTE_2019_PUBLIC","2"
"RO","IS","VOTE_2019_PUBLIC","5"
"NL","IS","VOTE_2019_PUBLIC","7"
"EE","IS","VOTE_2019_PUBLIC","5"
"HU","IS","VOTE_2019_PUBLIC","12"
"RS","IS","VOTE_2019_PUBLIC","5"
"ME","IS","VOTE_2019_PUBLIC","2"
"SI","IS","VOTE_2019_PUBLIC","7"
"RU","IS","VOTE_2019_PUBLIC","7"
"DE","IS","VOTE_2019_PUBLIC","2"
"MT","IS","VOTE_2019_PUBLIC","1"
"BE","IS","VOTE_2019_PUBLIC","3"
"PL","IS","VOTE_2019_PUBLIC","12"
"ES","IS","VOTE_2019_PUBLIC","3"
"DK","IS","VOTE_2019_PUBLIC","4"
"PT","IS","VOTE_2019_PUBLIC","3"
"LV","IS","VOTE_2019_PUBLIC","7"
"EE","IS","VOTE_2021_JURY","8"
"CZ","IS","VOTE_2021_JURY","8"
"AT","IS","VOTE_2021_JURY","12"
"RS","IS","VOTE_2021_JURY","7"
"PL","IS","VOTE_2021_JURY","10"
"SE","IS","VOTE_2021_JURY","7"
"IT","IS","VOTE_2021_JURY","8"
"UA","IS","VOTE_2021_JURY","4"
"MD","IS","VOTE_2021_JURY","5"
"DE","IS","VOTE_2021_JURY","3"
"PT","IS","VOTE_2021_JURY","8"
"CH","IS","VOTE_2021_JURY","5"
"LV","IS","VOTE_2021_JURY","10"
"MK","IS","VOTE_2021_JURY","4"
"BE","IS","VOTE_2021_JURY","3"
"ES","IS","VOTE_2021_JURY","7"
"GB","IS","VOTE_2021_JURY","10"
"IE","IS","VOTE_2021_JURY","8"
"HR","IS","VOTE_2021_JURY","10"
"LT","IS","VOTE_2021_JURY","4"
"FR","IS","VOTE_2021_JURY","3"
"FI","IS","VOTE_2021_JURY","8"
"AU","IS","VOTE_2021_JURY","8"
"SI","IS","VOTE_2021_JURY","10"
"GE","IS","VOTE_2021_JURY","6"
"DK","IS","VOTE_2021_JURY","10"
"NL","IS","VOTE_2021_JURY","10"
"NO","IS","VOTE_2021_JURY","2"
"GB","IS","VOTE_2021_PUBLIC","10"
"MT","IS","VOTE_2021_PUBLIC","5"
"PL","IS","VOTE_2021_PUBLIC","8"
"BE","IS","VOTE_2021_PUBLIC","5"
"NL","IS","VOTE_2021_PUBLIC","8"
"CH","IS","VOTE_2021_PUBLIC","5"
"FI","IS","VOTE_2021_PUBLIC","12"
"LT","IS","VOTE_2021_PUBLIC","3"
"PT","IS","VOTE_2021_PUBLIC","3"
"HR","IS","VOTE_2021_PUBLIC","4"
"IE","IS","VOTE_2021_PUBLIC","10"
"SI","IS","VOTE_2021_PUBLIC","3"
"UA","IS","VOTE_2021_PUBLIC","6"
"RU","IS","VOTE_2021_PUBLIC","1"
"IT","IS","VOTE_2021_PUBLIC","6"
"AU","IS","VOTE_2021_PUBLIC","12"
"RS","IS","VOTE_2021_PUBLIC","5"
"EE","IS","VOTE_2021_PUBLIC","3"
"DK","IS","VOTE_2021_PUBLIC","12"
"SE","IS","VOTE_2021_PUBLIC","10"
"DE","IS","VOTE_2021_PUBLIC","6"
"FR","IS","VOTE_2021_PUBLIC","4"
"IL","IS","VOTE_2021_PUBLIC","1"
"CZ","IS","VOTE_2021_PUBLIC","7"
"AT","IS","VOTE_2021_PUBLIC","10"
"GE","IS","VOTE_2021_PUBLIC","1"
"NO","IS","VOTE_2021_PUBLIC","10"
"ES","IS","VOTE_2021_PUBLIC","5"
"LV","IS","VOTE_2021_PUBLIC","5"
"LT","IS","VOTE_2022_JURY","2"
"PT","IS","VOTE_2022_JURY","6"
"DK","IS","VOTE_2022_JURY","1"
"IE","IS","VOTE_2022_JURY","1"
"DK","IS","VOTE_2022_PUBLIC","2"
"UA","IS","VOTE_2022_PUBLIC","8"
"NL","IT","VOTE_1957_JURY","2"
"GB","IT","VOTE_1957_JURY","2"
"DK","IT","VOTE_1957_JURY","1"
"BE","IT","VOTE_1957_JURY","1"
"LU","IT","VOTE_1957_JURY","1"
"BE","IT","VOTE_1958_JURY","4"
"DE","IT","VOTE_1958_JURY","4"
"SE","IT","VOTE_1958_JURY","1"
"FR","IT","VOTE_1958_JURY","1"
"AT","IT","VOTE_1958_JURY","1"
"NL","IT","VOTE_1958_JURY","1"
"CH","IT","VOTE_1958_JURY","1"
"SE","IT","VOTE_1959_JURY","1"
"BE","IT","VOTE_1959_JURY","1"
"CH","IT","VOTE_1959_JURY","3"
"FR","IT","VOTE_1959_JURY","3"
"MC","IT","VOTE_1959_JURY","1"
"NL","IT","VOTE_1960_JURY","1"
"LU","IT","VOTE_1960_JURY","1"
"BE","IT","VOTE_1960_JURY","1"
"MC","IT","VOTE_1960_JURY","2"
"FR","IT","VOTE_1961_JURY","1"
"YU","IT","VOTE_1961_JURY","1"
"BE","IT","VOTE_1961_JURY","4"
"MC","IT","VOTE_1961_JURY","1"
"NL","IT","VOTE_1961_JURY","1"
"DK","IT","VOTE_1961_JURY","4"
"YU","IT","VOTE_1962_JURY","1"
"LU","IT","VOTE_1962_JURY","2"
"NO","IT","VOTE_1963_JURY","3"
"YU","IT","VOTE_1963_JURY","4"
"ES","IT","VOTE_1963_JURY","3"
"MC","IT","VOTE_1963_JURY","5"
"NL","IT","VOTE_1963_JURY","1"
"CH","IT","VOTE_1963_JURY","5"
"DK","IT","VOTE_1963_JURY","5"
"GB","IT","VOTE_1963_JURY","2"
"BE","IT","VOTE_1963_JURY","3"
"LU","IT","VOTE_1963_JURY","4"
"FI","IT","VOTE_1963_JURY","2"
"BE","IT","VOTE_1964_JURY","5"
"YU","IT","VOTE_1964_JURY","5"
"FI","IT","VOTE_1964_JURY","5"
"CH","IT","VOTE_1964_JURY","3"
"AT","IT","VOTE_1964_JURY","5"
"NL","IT","VOTE_1964_JURY","5"
"LU","IT","VOTE_1964_JURY","5"
"MC","IT","VOTE_1964_JURY","3"
"PT","IT","VOTE_1964_JURY","5"
"GB","IT","VOTE_1964_JURY","5"
"DE","IT","VOTE_1964_JURY","3"
"DE","IT","VOTE_1965_JURY","1"
"LU","IT","VOTE_1965_JURY","1"
"FR","IT","VOTE_1965_JURY","3"
"NL","IT","VOTE_1965_JURY","3"
"BE","IT","VOTE_1965_JURY","3"
"GB","IT","VOTE_1965_JURY","1"
"MC","IT","VOTE_1965_JURY","3"
"GB","IT","VOTE_1967_JURY","1"
"ES","IT","VOTE_1967_JURY","1"
"IE","IT","VOTE_1967_JURY","1"
"CH","IT","VOTE_1967_JURY","1"
"ES","IT","VOTE_1968_JURY","2"
"YU","IT","VOTE_1968_JURY","2"
"CH","IT","VOTE_1968_JURY","2"
"PT","IT","VOTE_1968_JURY","1"
"YU","IT","VOTE_1969_JURY","1"
"PT","IT","VOTE_1969_JURY","1"
"FI","IT","VOTE_1969_JURY","1"
"MC","IT","VOTE_1969_JURY","1"
"IE","IT","VOTE_1969_JURY","1"
"DE","IT","VOTE_1970_JURY","2"
"ES","IT","VOTE_1970_JURY","2"
"YU","IT","VOTE_1970_JURY","1"
"IE","IT","VOTE_1971_JURY","6"
"MC","IT","VOTE_1971_JURY","9"
"GB","IT","VOTE_1971_JURY","6"
"YU","IT","VOTE_1971_JURY","8"
"DE","IT","VOTE_1971_JURY","6"
"NL","IT","VOTE_1971_JURY","2"
"PT","IT","VOTE_1971_JURY","3"
"CH","IT","VOTE_1971_JURY","8"
"SE","IT","VOTE_1971_JURY","7"
"BE","IT","VOTE_1971_JURY","2"
"ES","IT","VOTE_1971_JURY","6"
"MT","IT","VOTE_1971_JURY","6"
"FR","IT","VOTE_1971_JURY","9"
"FI","IT","VOTE_1971_JURY","2"
"NO","IT","VOTE_1971_JURY","5"
"LU","IT","VOTE_1971_JURY","2"
"AT","IT","VOTE_1971_JURY","4"
"DE","IT","VOTE_1972_JURY","4"
"SE","IT","VOTE_1972_JURY","8"
"ES","IT","VOTE_1972_JURY","2"
"AT","IT","VOTE_1972_JURY","6"
"YU","IT","VOTE_1972_JURY","4"
"FR","IT","VOTE_1972_JURY","5"
"GB","IT","VOTE_1972_JURY","3"
"MC","IT","VOTE_1972_JURY","6"
"NL","IT","VOTE_1972_JURY","5"
"NO","IT","VOTE_1972_JURY","6"
"PT","IT","VOTE_1972_JURY","7"
"LU","IT","VOTE_1972_JURY","6"
"MT","IT","VOTE_1972_JURY","6"
"BE","IT","VOTE_1972_JURY","6"
"CH","IT","VOTE_1972_JURY","9"
"FI","IT","VOTE_1972_JURY","6"
"IE","IT","VOTE_1972_JURY","3"
"NO","IT","VOTE_1973_JURY","5"
"DE","IT","VOTE_1973_JURY","5"
"ES","IT","VOTE_1973_JURY","5"
"PT","IT","VOTE_1973_JURY","3"
"YU","IT","VOTE_1973_JURY","5"
"NL","IT","VOTE_1973_JURY","4"
"IE","IT","VOTE_1973_JURY","4"
"CH","IT","VOTE_1973_JURY","7"
"LU","IT","VOTE_1973_JURY","5"
"BE","IT","VOTE_1973_JURY","5"
"FR","IT","VOTE_1973_JURY","5"
"IL","IT","VOTE_1973_JURY","4"
"GB","IT","VOTE_1973_JURY","5"
"SE","IT","VOTE_1973_JURY","5"
"MC","IT","VOTE_1973_JURY","5"
"FI","IT","VOTE_1973_JURY","2"
"FI","IT","VOTE_1974_JURY","2"
"LU","IT","VOTE_1974_JURY","1"
"ES","IT","VOTE_1974_JURY","2"
"PT","IT","VOTE_1974_JURY","1"
"IL","IT","VOTE_1974_JURY","1"
"MC","IT","VOTE_1974_JURY","4"
"BE","IT","VOTE_1974_JURY","1"
"GB","IT","VOTE_1974_JURY","5"
"IE","IT","VOTE_1974_JURY","1"
"NO","IT","VOTE_1975_JURY","6"
"SE","IT","VOTE_1975_JURY","1"
"CH","IT","VOTE_1975_JURY","10"
"YU","IT","VOTE_1975_JURY","10"
"TR","IT","VOTE_1975_JURY","10"
"GB","IT","VOTE_1975_JURY","10"
"PT","IT","VOTE_1975_JURY","10"
"BE","IT","VOTE_1975_JURY","6"
"MC","IT","VOTE_1975_JURY","1"
"FI","IT","VOTE_1975_JURY","12"
"IL","IT","VOTE_1975_JURY","5"
"FR","IT","VOTE_1975_JURY","4"
"ES","IT","VOTE_1975_JURY","7"
"LU","IT","VOTE_1975_JURY","3"
"DE","IT","VOTE_1975_JURY","4"
"MT","IT","VOTE_1975_JURY","10"
"IE","IT","VOTE_1975_JURY","6"
"CH","IT","VOTE_1976_JURY","8"
"FR","IT","VOTE_1976_JURY","10"
"YU","IT","VOTE_1976_JURY","6"
"GB","IT","VOTE_1976_JURY","1"
"PT","IT","VOTE_1976_JURY","10"
"NO","IT","VOTE_1976_JURY","3"
"IL","IT","VOTE_1976_JURY","2"
"FI","IT","VOTE_1976_JURY","6"
"GR","IT","VOTE_1976_JURY","10"
"IE","IT","VOTE_1976_JURY","12"
"AT","IT","VOTE_1976_JURY","1"
"FR","IT","VOTE_1977_JURY","7"
"DE","IT","VOTE_1977_JURY","3"
"FI","IT","VOTE_1977_JURY","2"
"PT","IT","VOTE_1977_JURY","3"
"CH","IT","VOTE_1977_JURY","2"
"MC","IT","VOTE_1977_JURY","6"
"IE","IT","VOTE_1977_JURY","8"
"ES","IT","VOTE_1977_JURY","2"
"PT","IT","VOTE_1978_JURY","1"
"IE","IT","VOTE_1978_JURY","10"
"CH","IT","VOTE_1978_JURY","1"
"NO","IT","VOTE_1978_JURY","6"
"DE","IT","VOTE_1978_JURY","2"
"GR","IT","VOTE_1978_JURY","2"
"BE","IT","VOTE_1978_JURY","1"
"GB","IT","VOTE_1978_JURY","6"
"FR","IT","VOTE_1978_JURY","4"
"TR","IT","VOTE_1978_JURY","1"
"ES","IT","VOTE_1978_JURY","8"
"MC","IT","VOTE_1978_JURY","8"
"LU","IT","VOTE_1978_JURY","3"
"FI","IT","VOTE_1979_JURY","8"
"NO","IT","VOTE_1979_JURY","3"
"ES","IT","VOTE_1979_JURY","8"
"PT","IT","VOTE_1979_JURY","8"
"SE","IT","VOTE_1980_JURY","10"
"AT","IT","VOTE_1980_JURY","2"
"NO","IT","VOTE_1980_JURY","2"
"NL","IT","VOTE_1980_JURY","1"
"IE","IT","VOTE_1980_JURY","2"
"GR","IT","VOTE_1980_JURY","2"
"GB","IT","VOTE_1980_JURY","4"
"TR","IT","VOTE_1980_JURY","6"
"PT","IT","VOTE_1980_JURY","12"
"FI","IT","VOTE_1980_JURY","6"
"ES","IT","VOTE_1980_JURY","10"
"CH","IT","VOTE_1980_JURY","8"
"DK","IT","VOTE_1980_JURY","3"
"BE","IT","VOTE_1980_JURY","10"
"FR","IT","VOTE_1980_JURY","2"
"DE","IT","VOTE_1980_JURY","7"
"FR","IT","VOTE_1983_JURY","7"
"GR","IT","VOTE_1983_JURY","2"
"TR","IT","VOTE_1983_JURY","4"
"CY","IT","VOTE_1983_JURY","1"
"ES","IT","VOTE_1983_JURY","3"
"FI","IT","VOTE_1983_JURY","1"
"PT","IT","VOTE_1983_JURY","7"
"IL","IT","VOTE_1983_JURY","6"
"YU","IT","VOTE_1983_JURY","8"
"SE","IT","VOTE_1983_JURY","2"
"NO","IT","VOTE_1984_JURY","1"
"DE","IT","VOTE_1984_JURY","6"
"CH","IT","VOTE_1984_JURY","7"
"AT","IT","VOTE_1984_JURY","7"
"TR","IT","VOTE_1984_JURY","7"
"ES","IT","VOTE_1984_JURY","12"
"PT","IT","VOTE_1984_JURY","8"
"LU","IT","VOTE_1984_JURY","10"
"FI","IT","VOTE_1984_JURY","12"
"CY","IT","VOTE_1985_JURY","10"
"IL","IT","VOTE_1985_JURY","4"
"ES","IT","VOTE_1985_JURY","12"
"AT","IT","VOTE_1985_JURY","6"
"FR","IT","VOTE_1985_JURY","5"
"LU","IT","VOTE_1985_JURY","12"
"BE","IT","VOTE_1985_JURY","2"
"DK","IT","VOTE_1985_JURY","1"
"TR","IT","VOTE_1985_JURY","8"
"PT","IT","VOTE_1985_JURY","12"
"FI","IT","VOTE_1985_JURY","6"
"TR","IT","VOTE_1987_JURY","8"
"PT","IT","VOTE_1987_JURY","12"
"SE","IT","VOTE_1987_JURY","1"
"GB","IT","VOTE_1987_JURY","1"
"ES","IT","VOTE_1987_JURY","12"
"IS","IT","VOTE_1987_JURY","3"
"CY","IT","VOTE_1987_JURY","1"
"LU","IT","VOTE_1987_JURY","4"
"BE","IT","VOTE_1987_JURY","5"
"IE","IT","VOTE_1987_JURY","12"
"DE","IT","VOTE_1987_JURY","12"
"FI","IT","VOTE_1987_JURY","4"
"IL","IT","VOTE_1987_JURY","3"
"YU","IT","VOTE_1987_JURY","12"
"CH","IT","VOTE_1987_JURY","7"
"AT","IT","VOTE_1987_JURY","6"
"YU","IT","VOTE_1988_JURY","5"
"DE","IT","VOTE_1988_JURY","2"
"ES","IT","VOTE_1988_JURY","7"
"AT","IT","VOTE_1988_JURY","5"
"TR","IT","VOTE_1988_JURY","4"
"FR","IT","VOTE_1988_JURY","8"
"FI","IT","VOTE_1988_JURY","8"
"NO","IT","VOTE_1988_JURY","3"
"CH","IT","VOTE_1988_JURY","8"
"LU","IT","VOTE_1988_JURY","2"
"ES","IT","VOTE_1989_JURY","12"
"GR","IT","VOTE_1989_JURY","4"
"YU","IT","VOTE_1989_JURY","8"
"DE","IT","VOTE_1989_JURY","7"
"CH","IT","VOTE_1989_JURY","2"
"CY","IT","VOTE_1989_JURY","6"
"PT","IT","VOTE_1989_JURY","7"
"FI","IT","VOTE_1989_JURY","10"
"NL","IT","VOTE_1990_JURY","8"
"CH","IT","VOTE_1990_JURY","8"
"LU","IT","VOTE_1990_JURY","10"
"FR","IT","VOTE_1990_JURY","4"
"IE","IT","VOTE_1990_JURY","12"
"AT","IT","VOTE_1990_JURY","7"
"PT","IT","VOTE_1990_JURY","10"
"SE","IT","VOTE_1990_JURY","10"
"IS","IT","VOTE_1990_JURY","3"
"ES","IT","VOTE_1990_JURY","12"
"DE","IT","VOTE_1990_JURY","6"
"IL","IT","VOTE_1990_JURY","1"
"BE","IT","VOTE_1990_JURY","8"
"YU","IT","VOTE_1990_JURY","6"
"GR","IT","VOTE_1990_JURY","10"
"DK","IT","VOTE_1990_JURY","6"
"TR","IT","VOTE_1990_JURY","8"
"CY","IT","VOTE_1990_JURY","12"
"FI","IT","VOTE_1990_JURY","8"
"CH","IT","VOTE_1991_JURY","2"
"IL","IT","VOTE_1991_JURY","3"
"PT","IT","VOTE_1991_JURY","12"
"GR","IT","VOTE_1991_JURY","6"
"YU","IT","VOTE_1991_JURY","7"
"NO","IT","VOTE_1991_JURY","10"
"ES","IT","VOTE_1991_JURY","7"
"FI","IT","VOTE_1991_JURY","12"
"IE","IT","VOTE_1991_JURY","10"
"MT","IT","VOTE_1991_JURY","2"
"TR","IT","VOTE_1991_JURY","10"
"FR","IT","VOTE_1991_JURY","8"
"FI","IT","VOTE_1992_JURY","12"
"TR","IT","VOTE_1992_JURY","5"
"CY","IT","VOTE_1992_JURY","10"
"CH","IT","VOTE_1992_JURY","7"
"NO","IT","VOTE_1992_JURY","12"
"MT","IT","VOTE_1992_JURY","5"
"PT","IT","VOTE_1992_JURY","8"
"NL","IT","VOTE_1992_JURY","12"
"IS","IT","VOTE_1992_JURY","10"
"SE","IT","VOTE_1992_JURY","8"
"DE","IT","VOTE_1992_JURY","1"
"AT","IT","VOTE_1992_JURY","6"
"GR","IT","VOTE_1992_JURY","3"
"FR","IT","VOTE_1992_JURY","12"
"MT","IT","VOTE_1993_JURY","7"
"PT","IT","VOTE_1993_JURY","10"
"FI","IT","VOTE_1993_JURY","8"
"CH","IT","VOTE_1993_JURY","1"
"NL","IT","VOTE_1993_JURY","2"
"FR","IT","VOTE_1993_JURY","5"
"LU","IT","VOTE_1993_JURY","10"
"ES","IT","VOTE_1993_JURY","2"
"IS","IT","VOTE_1997_JURY","1"
"PL","IT","VOTE_1997_JURY","8"
"CY","IT","VOTE_1997_JURY","6"
"IE","IT","VOTE_1997_JURY","1"
"CH","IT","VOTE_1997_JURY","10"
"SI","IT","VOTE_1997_JURY","10"
"NL","IT","VOTE_1997_JURY","7"
"DE","IT","VOTE_1997_JURY","4"
"DK","IT","VOTE_1997_JURY","4"
"GB","IT","VOTE_1997_JURY","3"
"BA","IT","VOTE_1997_JURY","6"
"TR","IT","VOTE_1997_JURY","5"
"AT","IT","VOTE_1997_JURY","1"
"GR","IT","VOTE_1997_JURY","5"
"HU","IT","VOTE_1997_JURY","3"
"HR","IT","VOTE_1997_JURY","10"
"ES","IT","VOTE_1997_JURY","8"
"RU","IT","VOTE_1997_JURY","7"
"PT","IT","VOTE_1997_JURY","12"
"SE","IT","VOTE_1997_JURY","3"
"RS","IT","VOTE_2011_JURY","2"
"CY","IT","VOTE_2011_JURY","1"
"DE","IT","VOTE_2011_JURY","3"
"RO","IT","VOTE_2011_JURY","6"
"EE","IT","VOTE_2011_JURY","6"
"MT","IT","VOTE_2011_JURY","10"
"CH","IT","VOTE_2011_JURY","4"
"BE","IT","VOTE_2011_JURY","6"
"BY","IT","VOTE_2011_JURY","3"
"BA","IT","VOTE_2011_JURY","6"
"AL","IT","VOTE_2011_JURY","12"
"LT","IT","VOTE_2011_JURY","10"
"GE","IT","VOTE_2011_JURY","7"
"LV","IT","VOTE_2011_JURY","12"
"GB","IT","VOTE_2011_JURY","7"
"SM","IT","VOTE_2011_JURY","12"
"IS","IT","VOTE_2011_JURY","3"
"FR","IT","VOTE_2011_JURY","8"
"PL","IT","VOTE_2011_JURY","10"
"PT","IT","VOTE_2011_JURY","10"
"AT","IT","VOTE_2011_JURY","6"
"HU","IT","VOTE_2011_JURY","4"
"ES","IT","VOTE_2011_JURY","12"
"FI","IT","VOTE_2011_JURY","3"
"SI","IT","VOTE_2011_JURY","3"
"GR","IT","VOTE_2011_JURY","10"
"MK","IT","VOTE_2011_JURY","1"
"AZ","IT","VOTE_2011_JURY","1"
"IE","IT","VOTE_2011_JURY","5"
"AM","IT","VOTE_2011_JURY","6"
"GE","IT","VOTE_2012_JURY","4"
"DE","IT","VOTE_2012_JURY","2"
"ES","IT","VOTE_2012_JURY","1"
"DK","IT","VOTE_2012_JURY","3"
"IE","IT","VOTE_2012_JURY","2"
"NO","IT","VOTE_2012_JURY","4"
"ME","IT","VOTE_2012_JURY","2"
"CH","IT","VOTE_2012_JURY","5"
"MK","IT","VOTE_2012_JURY","5"
"EE","IT","VOTE_2012_JURY","7"
"FR","IT","VOTE_2012_JURY","1"
"MD","IT","VOTE_2012_JURY","5"
"MT","IT","VOTE_2012_JURY","10"
"UA","IT","VOTE_2012_JURY","4"
"HU","IT","VOTE_2012_JURY","5"
"GR","IT","VOTE_2012_JURY","3"
"HR","IT","VOTE_2012_JURY","2"
"IL","IT","VOTE_2012_JURY","4"
"LT","IT","VOTE_2012_JURY","4"
"SM","IT","VOTE_2012_JURY","7"
"SI","IT","VOTE_2012_JURY","5"
"CY","IT","VOTE_2012_JURY","2"
"SK","IT","VOTE_2012_JURY","5"
"AL","IT","VOTE_2012_JURY","7"
"PT","IT","VOTE_2012_JURY","2"
"BE","IT","VOTE_2013_JURY","6"
"CH","IT","VOTE_2013_JURY","12"
"SM","IT","VOTE_2013_JURY","4"
"ES","IT","VOTE_2013_JURY","12"
"MK","IT","VOTE_2013_JURY","10"
"ME","IT","VOTE_2013_JURY","6"
"SI","IT","VOTE_2013_JURY","8"
"RS","IT","VOTE_2013_JURY","4"
"MT","IT","VOTE_2013_JURY","8"
"RO","IT","VOTE_2013_JURY","1"
"CY","IT","VOTE_2013_JURY","6"
"FR","IT","VOTE_2013_JURY","10"
"GR","IT","VOTE_2013_JURY","6"
"AM","IT","VOTE_2013_JURY","1"
"GE","IT","VOTE_2013_JURY","2"
"AT","IT","VOTE_2013_JURY","10"
"HR","IT","VOTE_2013_JURY","8"
"AL","IT","VOTE_2013_JURY","12"
"MK","IT","VOTE_2014_JURY","2"
"CH","IT","VOTE_2014_JURY","2"
"MT","IT","VOTE_2014_JURY","12"
"AL","IT","VOTE_2014_JURY","10"
"ME","IT","VOTE_2014_JURY","6"
"FR","IT","VOTE_2014_JURY","1"
"IL","IT","VOTE_2015_JURY","12"
"RO","IT","VOTE_2015_JURY","12"
"BY","IT","VOTE_2015_JURY","1"
"LT","IT","VOTE_2015_JURY","1"
"FI","IT","VOTE_2015_JURY","2"
"RS","IT","VOTE_2015_JURY","7"
"AU","IT","VOTE_2015_JURY","8"
"IS","IT","VOTE_2015_JURY","6"
"MK","IT","VOTE_2015_JURY","7"
"NO","IT","VOTE_2015_JURY","5"
"MT","IT","VOTE_2015_JURY","12"
"DK","IT","VOTE_2015_JURY","5"
"GR","IT","VOTE_2015_JURY","12"
"NL","IT","VOTE_2015_JURY","7"
"GB","IT","VOTE_2015_JURY","8"
"AM","IT","VOTE_2015_JURY","6"
"MD","IT","VOTE_2015_JURY","7"
"AL","IT","VOTE_2015_JURY","12"
"CH","IT","VOTE_2015_JURY","6"
"AZ","IT","VOTE_2015_JURY","8"
"ME","IT","VOTE_2015_JURY","6"
"EE","IT","VOTE_2015_JURY","3"
"CY","IT","VOTE_2015_JURY","12"
"ES","IT","VOTE_2015_JURY","12"
"CZ","IT","VOTE_2015_JURY","7"
"SM","IT","VOTE_2015_JURY","10"
"GE","IT","VOTE_2015_JURY","8"
"BE","IT","VOTE_2015_JURY","8"
"SI","IT","VOTE_2015_JURY","8"
"RU","IT","VOTE_2015_JURY","12"
"AT","IT","VOTE_2015_JURY","10"
"HU","IT","VOTE_2015_JURY","2"
"DE","IT","VOTE_2015_JURY","3"
"FR","IT","VOTE_2015_JURY","6"
"PL","IT","VOTE_2015_JURY","7"
"IE","IT","VOTE_2015_JURY","6"
"SE","IT","VOTE_2015_JURY","8"
"LV","IT","VOTE_2015_JURY","8"
"PT","IT","VOTE_2015_JURY","12"
"MT","IT","VOTE_2016_JURY","8"
"CY","IT","VOTE_2016_JURY","3"
"NO","IT","VOTE_2016_JURY","12"
"NL","IT","VOTE_2016_JURY","6"
"HR","IT","VOTE_2016_JURY","3"
"ES","IT","VOTE_2016_JURY","5"
"DE","IT","VOTE_2016_JURY","3"
"BE","IT","VOTE_2016_JURY","10"
"IE","IT","VOTE_2016_JURY","6"
"FI","IT","VOTE_2016_JURY","2"
"SM","IT","VOTE_2016_JURY","10"
"FR","IT","VOTE_2016_JURY","12"
"AL","IT","VOTE_2016_JURY","8"
"CH","IT","VOTE_2016_JURY","2"
"AM","IT","VOTE_2017_JURY","2"
"SI","IT","VOTE_2017_JURY","2"
"AL","IT","VOTE_2017_JURY","12"
"MT","IT","VOTE_2017_JURY","12"
"CH","IT","VOTE_2017_JURY","2"
"GR","IT","VOTE_2017_JURY","4"
"IL","IT","VOTE_2017_JURY","2"
"RS","IT","VOTE_2017_JURY","8"
"SE","IT","VOTE_2017_JURY","6"
"AT","IT","VOTE_2017_JURY","6"
"NO","IT","VOTE_2017_JURY","7"
"ES","IT","VOTE_2017_JURY","10"
"IS","IT","VOTE_2017_JURY","5"
